time,open,high,low,close,tick_volume,spread,real_volume
2023-11-01,1983.67,1992.618,1969.823,1985.01,107149,200,0
2023-11-02,1984.989,1990.926,1978.798,1984.961,85325,200,0
2023-11-03,1984.956,2004.002,1983.218,1992.516,95252,200,0
2023-11-05,1991.419,1991.579,1987.149,1988.47,2471,200,0
2023-11-06,1988.473,1993.042,1975.737,1976.677,82638,200,0
2023-11-07,1976.653,1977.001,1956.624,1968.902,89570,200,0
2023-11-08,1968.908,1970.989,1947.335,1950.812,88825,200,0
2023-11-09,1950.815,1965.718,1944.52,1959.058,97697,200,0
2023-11-10,1959.059,1960.715,1932.898,1938.353,85405,200,0
2023-11-12,1941.002,1941.299,1921.384,1940.344,2190,200,0
2023-11-13,1940.374,1949.187,1931.604,1946.399,79799,200,0
2023-11-14,1946.414,1970.954,1937.468,1962.493,90804,200,0
2023-11-15,1962.487,1975.28,1955.413,1960.331,90313,200,0
2023-11-16,1960.333,1987.943,1956.437,1982.545,86817,199,0
2023-11-17,1982.649,1993.409,1978.514,1980.635,84981,199,0
2023-11-19,1977.456,1978.72,1974.12,1974.471,2472,199,0
2023-11-20,1974.532,1985.121,1965.416,1981.169,95925,199,0
2023-11-21,1981.155,2007.486,1980.709,1999.339,102315,199,0
2023-11-22,1999.338,2006.404,1986.851,1990.506,92517,199,0
2023-11-23,1990.515,1998.561,1989.762,1993.984,58345,199,0
2023-11-24,1994.072,2003.621,1991.463,2002.188,69441,199,0
2023-11-26,2000.897,2002.978,2000.484,2002.25,2307,357,0
2023-11-27,2002.364,2018.187,2001.789,2015.215,99689,199,0
2023-11-28,2015.217,2044.573,2011.387,2044.406,94595,199,0
2023-11-29,2044.426,2052.03,2035.228,2044.643,109426,199,0
2023-11-30,2044.64,2047.262,2031.277,2039.918,101397,199,0
2023-12-01,2040.075,2075.271,2033.825,2071.554,107646,199,0
2023-12-03,2074.106,2144.462,2071.635,2117.509,17109,381,0
2023-12-04,2117.88,2120.648,2019.986,2034.087,189526,199,0
2023-12-05,2033.931,2041.17,2009.744,2018.903,134394,199,0
2023-12-06,2018.904,2035.915,2018.683,2027.006,110332,199,0
2023-12-07,2026.977,2039.891,2020.091,2027.916,109396,199,0
2023-12-08,2028.061,2034.005,1994.518,2004.34,127419,199,0
2023-12-10,2005.584,2007.648,2004.547,2007.054,3143,199,0
2023-12-11,2006.993,2007.808,1975.841,1982.96,106010,199,0
2023-12-12,1982.954,1996.656,1977.115,1982.453,104519,199,0
2023-12-13,1982.452,2033.129,1973.033,2032.813,123519,199,0
2023-12-14,2032.858,2047.909,2027.353,2035.553,144853,199,0
2023-12-15,2035.52,2044.909,2015.546,2019.491,116115,199,0
2023-12-17,2019.802,2020.102,2015.891,2017.414,3334,199,0
2023-12-18,2017.413,2033.689,2016.067,2027.604,96921,199,0
2023-12-19,2027.568,2046.964,2021.696,2040.931,97667,199,0
2023-12-20,2040.862,2043.444,2027.387,2032.127,95338,199,0
2023-12-21,2032.103,2055.012,2031.906,2052.778,98431,199,0
2023-12-22,2052.788,2070.619,2046.75,2053.095,106409,199,0
2023-12-25,2057.746,2057.746,2052.916,2054.497,1478,1115,0
2023-12-26,2054.489,2069.044,2053.318,2065.502,59279,257,0
2023-12-27,2065.846,2084.423,2061.468,2079.169,89029,199,0
2023-12-28,2079.268,2088.485,2064.456,2066.564,100095,199,0
2023-12-29,2066.602,2074.729,2058.095,2062.838,93900,199,0
2024-01-01,2064.593,2066.095,2062.645,2063.543,1996,377,0
2024-01-02,2063.347,2078.877,2056.097,2059.476,101317,199,0
2024-01-03,2059.448,2065.982,2030.522,2042.666,120875,199,0
2024-01-04,2042.657,2050.958,2036.174,2043.865,97180,199,0
2024-01-05,2043.917,2063.987,2024.318,2045.479,128613,199,0
2024-01-07,2044.636,2045.575,2042.902,2044.208,2618,199,0
2024-01-08,2044.212,2046.584,2016.674,2030.439,115825,199,0
2024-01-09,2030.411,2042.004,2026.021,2030.401,108730,199,0
2024-01-10,2030.403,2040.263,2020.353,2026.358,102587,199,0
2024-01-11,2026.413,2047.858,2013.209,2034.954,134615,199,0
2024-01-12,2035.011,2062.267,2030.01,2049.032,120737,199,0
2024-01-14,2048.13,2048.705,2046.293,2047.587,2658,200,0
