time,open,high,low,close,tick_volume,spread,real_volume
2025-04-04,3112.908,3136.756,3015.593,3038.506,516507,159,0
2025-04-06,3028.686,3032.445,2977.024,2999.944,46371,159,0
2025-04-07,2999.954,3055.804,2956.374,2981.328,685479,159,0
2025-04-08,2981.363,3022.746,2969.978,2978.367,332841,159,0
2025-04-09,2978.398,3099.673,2972.466,3086.784,457847,159,0
2025-04-10,3086.745,3191.341,3078.431,3188.972,358899,159,0
2025-04-11,3188.993,3245.436,3184.783,3237.519,383338,159,0
2025-04-13,3220.46,3224.786,3213.589,3223.733,19664,159,0
2025-04-14,3223.699,3245.757,3193.552,3212.626,265847,159,0
2025-04-15,3212.601,3251.826,3210.002,3251.78,184867,159,0
2025-04-16,3251.804,3357.738,3251.59,3350.133,295419,159,0
2025-04-17,3350.168,3356.316,3283.828,3327.671,308805,159,0
2025-04-20,3331.849,3353.144,3331.312,3348.078,23638,159,0
2025-04-21,3348.119,3444.257,3347.487,3434.548,296219,159,0
2025-04-22,3434.524,3500.033,3315.828,3336.561,546947,159,0
2025-04-23,3336.607,3386.643,3260.042,3316.384,494581,159,0
2025-04-24,3316.351,3370.789,3306.739,3348.976,350479,159,0
2025-04-25,3348.948,3363.157,3265.0,3318.798,320956,159,0
2025-04-27,3325.64,3330.215,3298.606,3302.739,25677,159,0
2025-04-28,3302.745,3353.006,3268.048,3337.682,306758,159,0
2025-04-29,3337.643,3340.061,3299.649,3317.122,257264,159,0
2025-04-30,3317.122,3327.982,3266.901,3272.887,297418,159,0
2025-05-01,3272.922,3276.329,3201.862,3237.253,318451,159,0
2025-05-02,3237.291,3269.242,3222.721,3240.947,280155,159,0
2025-05-04,3238.49,3252.3,3237.562,3247.922,17230,159,0
2025-05-05,3247.969,3338.019,3241.18,3334.031,263107,159,0
2025-05-06,3334.038,3435.016,3323.139,3400.68,375690,159,0
2025-05-07,3400.723,3401.666,3360.068,3376.488,356702,159,0
2025-05-08,3376.515,3414.851,3288.697,3316.412,386854,159,0
2025-05-09,3316.448,3347.556,3274.664,3326.805,269780,159,0
2025-05-11,3282.255,3292.6,3265.847,3287.561,32302,159,0
2025-05-12,3287.506,3290.026,3207.693,3236.858,398375,159,0
2025-05-13,3236.906,3265.659,3215.88,3254.41,262784,159,0
2025-05-14,3254.388,3254.658,3167.933,3186.127,311954,159,0
2025-05-15,3186.011,3252.105,3120.65,3237.15,310528,159,0
2025-05-16,3237.175,3244.613,3154.289,3202.217,312821,159,0
2025-05-18,3214.226,3245.252,3211.713,3234.91,28622,159,0
